2018-02-01 14:07:48.7478 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-02-01 14:07:48.7918 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-02-01 14:07:49.3765 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-02-01 14:07:49.7854 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-02-01 14:07:49.7854 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:741 user_id:459569 chat_id:-156558308 username:Sergeiaf name: Sergei Fedorov date: 1517480703 message:'/t @Sergeiaf 415 @Infom' 

2018-02-01 14:07:50.2377 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-02-01 14:07:50.2377 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Sergeiaf 415 @Infom' 

2018-02-01 14:07:50.2487 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Sergeiaf' 

2018-02-01 14:07:50.2487 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '415' 

2018-02-01 14:07:50.2487 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь to 'Infom' 

2018-02-01 14:07:50.2627 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Описание '' 

2018-02-01 14:07:50.2627 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Поиск пользователя 'Sergeiaf' 

2018-02-01 14:07:50.2627 | DeeBeeTeeDB.DBAPI.SearchUser | TRACE | UserSearchSQL: SELECT uid, [user], assign_date, limit, user_id from dbo.[users] where [user] = 'Sergeiaf' 

2018-02-01 14:07:50.3587 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Поиск пользователя 'Infom' 

2018-02-01 14:07:50.3587 | DeeBeeTeeDB.DBAPI.SearchUser | TRACE | UserSearchSQL: SELECT uid, [user], assign_date, limit, user_id from dbo.[users] where [user] = 'Infom' 

